email,breach_source,year,risk_level
user115@outlook.com,LinkedIn,2013,HIGH
user116@company.com,Adobe,2021,HIGH
user117@gmail.com,Canva,2021,LOW
user118@outlook.com,Twitter,2012,CRITICAL
user119@gmail.com,Canva,2013,CRITICAL
user120@protonmail.com,Adobe,2014,CRITICAL
user121@yahoo.com,Dropbox,2013,MEDIUM
user122@gmail.com,Adobe,2021,CRITICAL
user123@icloud.com,Yahoo,2015,HIGH
user124@yahoo.com,Canva,2012,LOW
user125@outlook.com,Dropbox,2019,HIGH
user126@protonmail.com,Twitter,2019,CRITICAL
user127@gmail.com,Canva,2014,CRITICAL
user128@yahoo.com,Twitter,2021,HIGH
user129@company.com,Twitter,2024,MEDIUM
user130@company.com,Twitter,2014,MEDIUM
user131@icloud.com,Adobe,2024,MEDIUM
user132@company.com,Dropbox,2022,LOW
user133@gmail.com,Yahoo,2014,HIGH
user134@company.com,Twitter,2024,CRITICAL
user135@company.com,Yahoo,2014,CRITICAL
user136@icloud.com,Adobe,2021,CRITICAL
user137@icloud.com,Yahoo,2018,LOW
user138@yahoo.com,Yahoo,2016,MEDIUM
user139@protonmail.com,Dropbox,2014,MEDIUM
user140@protonmail.com,Canva,2015,CRITICAL
user141@gmail.com,Twitter,2020,HIGH
user142@outlook.com,Dropbox,2016,HIGH
user143@icloud.com,Dropbox,2023,LOW
user144@company.com,Yahoo,2014,LOW
user145@gmail.com,MyFitnessPal,2022,LOW
user146@yahoo.com,Yahoo,2019,LOW
user147@outlook.com,Twitter,2013,MEDIUM
user148@outlook.com,Canva,2014,LOW
user149@protonmail.com,LinkedIn,2024,MEDIUM
user150@protonmail.com,Adobe,2021,MEDIUM
user151@outlook.com,Twitter,2015,CRITICAL
user152@company.com,Adobe,2013,CRITICAL
user153@icloud.com,Yahoo,2022,MEDIUM
user154@protonmail.com,Adobe,2017,HIGH
user155@icloud.com,LinkedIn,2017,CRITICAL
user156@protonmail.com,MyFitnessPal,2016,MEDIUM
user157@outlook.com,Yahoo,2020,HIGH
user158@gmail.com,Twitter,2012,CRITICAL
user159@icloud.com,MyFitnessPal,2013,MEDIUM
user160@protonmail.com,Canva,2014,MEDIUM
user161@gmail.com,MyFitnessPal,2013,LOW
user162@protonmail.com,LinkedIn,2012,HIGH
user163@protonmail.com,MyFitnessPal,2021,LOW
user164@protonmail.com,Dropbox,2017,LOW
user165@company.com,MyFitnessPal,2022,LOW
user166@company.com,MyFitnessPal,2021,MEDIUM
user167@company.com,Adobe,2018,MEDIUM
user168@gmail.com,Adobe,2015,CRITICAL
user169@protonmail.com,Dropbox,2012,CRITICAL
user170@outlook.com,Adobe,2021,CRITICAL
user171@protonmail.com,MyFitnessPal,2021,CRITICAL
user172@yahoo.com,MyFitnessPal,2012,CRITICAL
user173@company.com,Dropbox,2015,CRITICAL
user174@gmail.com,LinkedIn,2017,HIGH
user175@company.com,Canva,2021,CRITICAL
user176@company.com,LinkedIn,2021,LOW
user177@gmail.com,LinkedIn,2016,MEDIUM
user178@outlook.com,MyFitnessPal,2019,MEDIUM
user179@gmail.com,Canva,2012,LOW
user180@icloud.com,Yahoo,2017,HIGH
user181@yahoo.com,MyFitnessPal,2024,LOW
user182@icloud.com,Yahoo,2012,LOW
user183@protonmail.com,MyFitnessPal,2022,MEDIUM
user184@icloud.com,Twitter,2024,LOW
user185@company.com,Yahoo,2015,CRITICAL
user186@icloud.com,MyFitnessPal,2024,MEDIUM
user187@company.com,Dropbox,2023,LOW
user188@yahoo.com,Twitter,2012,MEDIUM
user189@gmail.com,Canva,2023,CRITICAL
user190@outlook.com,Yahoo,2023,HIGH
user191@gmail.com,Canva,2024,MEDIUM
user192@company.com,Adobe,2017,CRITICAL
user193@icloud.com,LinkedIn,2016,CRITICAL
user194@company.com,LinkedIn,2020,CRITICAL
user195@company.com,Canva,2016,HIGH
user196@yahoo.com,LinkedIn,2022,CRITICAL
user197@protonmail.com,Twitter,2018,CRITICAL
user198@gmail.com,LinkedIn,2016,MEDIUM
user199@protonmail.com,Canva,2015,LOW
user200@gmail.com,Yahoo,2017,CRITICAL
user201@yahoo.com,Dropbox,2012,MEDIUM
user202@outlook.com,Yahoo,2023,MEDIUM
user203@outlook.com,MyFitnessPal,2018,MEDIUM
user204@icloud.com,Adobe,2014,LOW
user205@protonmail.com,Dropbox,2013,CRITICAL
user206@company.com,Twitter,2012,LOW
user207@company.com,Adobe,2019,HIGH
user208@outlook.com,LinkedIn,2024,MEDIUM
user209@protonmail.com,MyFitnessPal,2021,CRITICAL
user210@yahoo.com,Adobe,2023,HIGH
user211@yahoo.com,Twitter,2019,MEDIUM
user212@company.com,LinkedIn,2019,CRITICAL
user213@gmail.com,MyFitnessPal,2018,CRITICAL
user214@company.com,MyFitnessPal,2019,LOW
user215@gmail.com,Twitter,2016,LOW
user216@gmail.com,Canva,2014,MEDIUM
user217@company.com,LinkedIn,2024,HIGH
user218@protonmail.com,MyFitnessPal,2022,CRITICAL
user219@company.com,Yahoo,2018,LOW
user220@protonmail.com,Canva,2017,CRITICAL
user221@protonmail.com,LinkedIn,2018,CRITICAL
user222@icloud.com,MyFitnessPal,2021,MEDIUM
user223@icloud.com,Adobe,2015,LOW
user224@icloud.com,Canva,2014,MEDIUM
user225@icloud.com,Yahoo,2015,LOW
user226@protonmail.com,Canva,2013,CRITICAL
user227@yahoo.com,Dropbox,2012,CRITICAL
user228@company.com,Yahoo,2013,CRITICAL
user229@yahoo.com,Twitter,2024,CRITICAL
user230@protonmail.com,LinkedIn,2018,LOW
user231@gmail.com,Twitter,2014,LOW
user232@protonmail.com,Canva,2014,MEDIUM
user233@icloud.com,MyFitnessPal,2022,MEDIUM
user234@protonmail.com,Adobe,2022,HIGH
user235@company.com,MyFitnessPal,2015,CRITICAL
user236@icloud.com,Yahoo,2015,HIGH
user237@protonmail.com,Adobe,2018,MEDIUM
user238@protonmail.com,Dropbox,2021,LOW
user239@company.com,Twitter,2019,MEDIUM
user240@outlook.com,Twitter,2012,CRITICAL
user241@outlook.com,MyFitnessPal,2023,HIGH
user242@gmail.com,MyFitnessPal,2020,CRITICAL
user243@outlook.com,Twitter,2014,HIGH
user244@protonmail.com,Canva,2022,MEDIUM
user245@gmail.com,Dropbox,2013,CRITICAL
user246@icloud.com,Twitter,2014,CRITICAL
user247@icloud.com,Canva,2023,LOW
user248@gmail.com,MyFitnessPal,2016,CRITICAL
user249@company.com,Yahoo,2018,HIGH
user250@company.com,Canva,2024,HIGH
user251@gmail.com,Canva,2016,LOW
user252@protonmail.com,Twitter,2013,MEDIUM
user253@yahoo.com,Adobe,2023,MEDIUM
user254@protonmail.com,Yahoo,2022,HIGH
user255@icloud.com,Dropbox,2013,MEDIUM
user256@yahoo.com,MyFitnessPal,2019,CRITICAL
user257@outlook.com,Twitter,2020,HIGH
user258@gmail.com,Dropbox,2019,LOW
user259@gmail.com,Dropbox,2019,HIGH
user260@yahoo.com,Canva,2017,LOW
user261@gmail.com,MyFitnessPal,2024,HIGH
user262@icloud.com,Yahoo,2021,CRITICAL
user263@company.com,Twitter,2018,HIGH
user264@gmail.com,Yahoo,2019,HIGH
user265@yahoo.com,LinkedIn,2019,MEDIUM
user266@icloud.com,Yahoo,2015,HIGH
user267@company.com,LinkedIn,2018,LOW
user268@protonmail.com,Canva,2020,HIGH
user269@gmail.com,Canva,2017,MEDIUM
user270@icloud.com,Adobe,2020,HIGH
user271@company.com,MyFitnessPal,2018,LOW
user272@gmail.com,Canva,2016,MEDIUM
user273@company.com,Twitter,2023,LOW
user274@gmail.com,MyFitnessPal,2018,HIGH
user275@outlook.com,Twitter,2020,MEDIUM
user276@icloud.com,Canva,2017,MEDIUM
user277@company.com,Canva,2014,MEDIUM
user278@icloud.com,MyFitnessPal,2013,HIGH
user279@company.com,Twitter,2012,CRITICAL
user280@company.com,Twitter,2021,HIGH
user281@gmail.com,LinkedIn,2016,HIGH
user282@outlook.com,MyFitnessPal,2012,HIGH
user283@protonmail.com,Dropbox,2023,CRITICAL
user284@outlook.com,MyFitnessPal,2012,HIGH
user285@company.com,Canva,2012,MEDIUM
user286@outlook.com,LinkedIn,2013,LOW
user287@protonmail.com,Twitter,2016,CRITICAL
user288@outlook.com,Canva,2013,CRITICAL
user289@protonmail.com,Canva,2013,HIGH
user290@icloud.com,Twitter,2023,CRITICAL
user291@protonmail.com,MyFitnessPal,2020,LOW
user292@gmail.com,MyFitnessPal,2018,HIGH
user293@outlook.com,Dropbox,2018,LOW
user294@icloud.com,Canva,2015,MEDIUM
user295@outlook.com,Dropbox,2022,HIGH
user296@icloud.com,Yahoo,2019,CRITICAL
user297@yahoo.com,Dropbox,2016,LOW
user298@yahoo.com,Canva,2015,LOW
user299@company.com,Adobe,2021,MEDIUM
user300@company.com,Dropbox,2023,MEDIUM
user301@icloud.com,MyFitnessPal,2017,CRITICAL
user302@icloud.com,Canva,2018,HIGH
user303@icloud.com,Canva,2021,CRITICAL
user304@outlook.com,Canva,2013,MEDIUM
user305@icloud.com,Yahoo,2023,LOW
user306@icloud.com,Canva,2017,MEDIUM
user307@company.com,Twitter,2018,CRITICAL
user308@gmail.com,LinkedIn,2015,MEDIUM
user309@outlook.com,LinkedIn,2019,MEDIUM
user310@company.com,Canva,2019,HIGH
user311@yahoo.com,LinkedIn,2023,CRITICAL
user312@protonmail.com,MyFitnessPal,2021,LOW
user313@icloud.com,MyFitnessPal,2013,MEDIUM
user314@icloud.com,LinkedIn,2014,CRITICAL
user315@protonmail.com,MyFitnessPal,2019,CRITICAL
user316@gmail.com,Twitter,2023,MEDIUM
user317@icloud.com,Yahoo,2016,CRITICAL
user318@icloud.com,LinkedIn,2024,MEDIUM
user319@gmail.com,Twitter,2018,HIGH
user320@outlook.com,Canva,2021,MEDIUM
user321@company.com,MyFitnessPal,2016,LOW
user322@icloud.com,MyFitnessPal,2022,HIGH
user323@protonmail.com,Yahoo,2012,LOW
user324@yahoo.com,Twitter,2015,CRITICAL
user325@gmail.com,Canva,2015,LOW
user326@yahoo.com,Canva,2015,MEDIUM
user327@company.com,Twitter,2023,LOW
user328@yahoo.com,Dropbox,2013,CRITICAL
user329@gmail.com,Dropbox,2016,MEDIUM
user330@icloud.com,Adobe,2024,HIGH
user331@yahoo.com,Twitter,2023,HIGH
user332@icloud.com,MyFitnessPal,2017,HIGH
user333@gmail.com,Adobe,2023,LOW
user334@outlook.com,LinkedIn,2021,CRITICAL
user335@outlook.com,Yahoo,2017,LOW
user336@company.com,LinkedIn,2023,LOW
user337@yahoo.com,Yahoo,2016,LOW
user338@yahoo.com,Adobe,2019,HIGH
user339@company.com,Dropbox,2017,LOW
user340@outlook.com,MyFitnessPal,2020,CRITICAL
user341@outlook.com,Dropbox,2024,LOW
user342@yahoo.com,Dropbox,2018,MEDIUM
user343@company.com,Dropbox,2013,HIGH
user344@yahoo.com,LinkedIn,2024,MEDIUM
user345@icloud.com,Adobe,2017,CRITICAL
user346@gmail.com,Adobe,2023,LOW
user347@yahoo.com,Twitter,2019,HIGH
user348@protonmail.com,Dropbox,2014,LOW
user349@company.com,Adobe,2017,LOW
user350@yahoo.com,Twitter,2024,MEDIUM
user351@gmail.com,Adobe,2023,HIGH
user352@company.com,Yahoo,2012,MEDIUM
user353@outlook.com,Yahoo,2012,MEDIUM
user354@protonmail.com,MyFitnessPal,2022,MEDIUM
user355@gmail.com,Twitter,2016,CRITICAL
user356@gmail.com,Yahoo,2016,HIGH
user357@protonmail.com,Yahoo,2018,LOW
user358@yahoo.com,Dropbox,2022,CRITICAL
user359@yahoo.com,MyFitnessPal,2018,HIGH
user360@gmail.com,Adobe,2012,MEDIUM
user361@company.com,Yahoo,2017,LOW
user362@gmail.com,Canva,2023,HIGH
user363@protonmail.com,Canva,2023,MEDIUM
user364@company.com,Dropbox,2012,LOW
user365@gmail.com,Yahoo,2023,CRITICAL
user366@protonmail.com,Adobe,2021,CRITICAL
user367@outlook.com,LinkedIn,2017,CRITICAL
user368@yahoo.com,Twitter,2023,HIGH
user369@gmail.com,Yahoo,2020,HIGH
user370@protonmail.com,Dropbox,2022,HIGH
user371@protonmail.com,MyFitnessPal,2018,CRITICAL
user372@company.com,LinkedIn,2019,MEDIUM
user373@yahoo.com,Twitter,2016,HIGH
user374@yahoo.com,Canva,2015,HIGH
user375@yahoo.com,Dropbox,2023,LOW
user376@company.com,Adobe,2018,HIGH
user377@yahoo.com,Yahoo,2012,LOW
user378@gmail.com,MyFitnessPal,2023,MEDIUM
user379@icloud.com,LinkedIn,2021,HIGH
user380@protonmail.com,Dropbox,2018,LOW
user381@icloud.com,MyFitnessPal,2021,LOW
user382@company.com,MyFitnessPal,2023,HIGH
user383@yahoo.com,Dropbox,2020,MEDIUM
user384@yahoo.com,Twitter,2022,MEDIUM
user385@company.com,Dropbox,2018,CRITICAL
user386@outlook.com,Twitter,2018,MEDIUM
user387@protonmail.com,Canva,2020,HIGH
user388@yahoo.com,Twitter,2015,LOW
user389@gmail.com,Dropbox,2016,LOW
user390@company.com,Yahoo,2016,CRITICAL
user391@icloud.com,MyFitnessPal,2024,LOW
user392@yahoo.com,LinkedIn,2017,HIGH
user393@yahoo.com,Twitter,2016,MEDIUM
user394@protonmail.com,Yahoo,2023,MEDIUM
user395@yahoo.com,Twitter,2024,LOW
user396@company.com,Canva,2015,LOW
user397@yahoo.com,Canva,2017,HIGH
user398@outlook.com,Yahoo,2023,CRITICAL
user399@company.com,Adobe,2013,CRITICAL
user400@yahoo.com,Dropbox,2013,CRITICAL
user401@company.com,LinkedIn,2013,MEDIUM
user402@icloud.com,MyFitnessPal,2022,MEDIUM
user403@icloud.com,LinkedIn,2020,CRITICAL
user404@icloud.com,MyFitnessPal,2019,HIGH
user405@icloud.com,Adobe,2019,LOW
user406@protonmail.com,Canva,2017,CRITICAL
user407@yahoo.com,Yahoo,2013,MEDIUM
user408@protonmail.com,MyFitnessPal,2019,LOW
user409@outlook.com,Dropbox,2021,LOW
user410@yahoo.com,Yahoo,2013,MEDIUM
user411@protonmail.com,MyFitnessPal,2019,LOW
user412@gmail.com,Twitter,2012,MEDIUM
user413@icloud.com,Yahoo,2012,LOW
user414@outlook.com,Adobe,2012,CRITICAL
user415@protonmail.com,Dropbox,2023,MEDIUM
user416@icloud.com,LinkedIn,2022,HIGH
user417@company.com,LinkedIn,2014,MEDIUM
user418@outlook.com,Adobe,2016,MEDIUM
user419@gmail.com,Canva,2022,LOW
user420@gmail.com,Canva,2016,HIGH
user421@outlook.com,Dropbox,2017,MEDIUM
user422@protonmail.com,Yahoo,2024,MEDIUM
user423@gmail.com,Canva,2012,CRITICAL
user424@outlook.com,MyFitnessPal,2017,MEDIUM
user425@icloud.com,Canva,2018,CRITICAL
user426@protonmail.com,Canva,2022,MEDIUM
user427@icloud.com,Yahoo,2015,LOW
user428@icloud.com,Yahoo,2017,LOW
user429@company.com,MyFitnessPal,2023,LOW
user430@outlook.com,Twitter,2013,MEDIUM
user431@icloud.com,Dropbox,2018,HIGH
user432@company.com,Dropbox,2024,HIGH
user433@protonmail.com,Twitter,2017,MEDIUM
user434@outlook.com,Twitter,2022,CRITICAL
user435@outlook.com,Yahoo,2016,LOW
user436@company.com,Adobe,2021,LOW
user437@outlook.com,Dropbox,2023,HIGH
user438@icloud.com,Yahoo,2012,CRITICAL
user439@outlook.com,Canva,2014,LOW
user440@gmail.com,Dropbox,2015,LOW
user441@gmail.com,Twitter,2014,LOW
user442@icloud.com,MyFitnessPal,2012,LOW
user443@protonmail.com,Yahoo,2024,CRITICAL
user444@outlook.com,Yahoo,2020,MEDIUM
user445@yahoo.com,MyFitnessPal,2022,LOW
user446@gmail.com,Dropbox,2015,MEDIUM
user447@outlook.com,LinkedIn,2013,MEDIUM
user448@outlook.com,Adobe,2022,LOW
user449@yahoo.com,Adobe,2013,CRITICAL
user450@company.com,Yahoo,2012,MEDIUM
user451@icloud.com,Yahoo,2023,LOW
user452@company.com,Yahoo,2020,MEDIUM
user453@icloud.com,MyFitnessPal,2013,MEDIUM
user454@yahoo.com,LinkedIn,2018,MEDIUM
user455@outlook.com,Yahoo,2017,HIGH
user456@yahoo.com,Dropbox,2012,CRITICAL
user457@yahoo.com,Adobe,2023,MEDIUM
user458@outlook.com,Yahoo,2014,MEDIUM
user459@outlook.com,Adobe,2021,CRITICAL
user460@gmail.com,Yahoo,2013,CRITICAL
user461@company.com,Yahoo,2022,MEDIUM
user462@outlook.com,Dropbox,2012,CRITICAL
user463@yahoo.com,Twitter,2019,HIGH
user464@company.com,MyFitnessPal,2022,CRITICAL
user465@gmail.com,Twitter,2020,MEDIUM
user466@yahoo.com,Dropbox,2016,LOW
user467@protonmail.com,Adobe,2012,MEDIUM
user468@outlook.com,Adobe,2012,CRITICAL
user469@gmail.com,Adobe,2017,HIGH
user470@yahoo.com,LinkedIn,2012,HIGH
user471@company.com,LinkedIn,2023,CRITICAL
user472@protonmail.com,Canva,2017,HIGH
user473@yahoo.com,Canva,2021,CRITICAL
user474@icloud.com,Yahoo,2017,LOW
user475@company.com,MyFitnessPal,2015,CRITICAL
user476@gmail.com,Yahoo,2020,HIGH
user477@outlook.com,Adobe,2017,CRITICAL
user478@protonmail.com,Adobe,2020,CRITICAL
user479@yahoo.com,Adobe,2012,LOW
user480@yahoo.com,Dropbox,2019,MEDIUM
user481@yahoo.com,MyFitnessPal,2021,LOW
user482@icloud.com,Yahoo,2020,HIGH
user483@company.com,Yahoo,2018,MEDIUM
user484@gmail.com,Dropbox,2022,LOW
user485@outlook.com,Yahoo,2023,LOW
user486@protonmail.com,LinkedIn,2021,LOW
user487@yahoo.com,LinkedIn,2024,HIGH
user488@gmail.com,LinkedIn,2021,CRITICAL
user489@outlook.com,LinkedIn,2024,LOW
user490@icloud.com,Dropbox,2015,LOW
user491@company.com,Adobe,2013,LOW
user492@gmail.com,Dropbox,2015,HIGH
user493@gmail.com,Twitter,2020,MEDIUM
user494@icloud.com,MyFitnessPal,2016,LOW
user495@outlook.com,Twitter,2019,HIGH
user496@icloud.com,Yahoo,2018,HIGH
user497@gmail.com,Dropbox,2014,LOW
user498@protonmail.com,Dropbox,2023,LOW
user499@outlook.com,Adobe,2012,MEDIUM
user500@gmail.com,LinkedIn,2016,HIGH
user501@outlook.com,Dropbox,2012,CRITICAL
user502@company.com,LinkedIn,2024,LOW
user503@protonmail.com,MyFitnessPal,2013,CRITICAL
user504@gmail.com,MyFitnessPal,2012,MEDIUM
user505@yahoo.com,Twitter,2016,LOW
user506@yahoo.com,Adobe,2021,LOW
user507@yahoo.com,MyFitnessPal,2024,CRITICAL
user508@protonmail.com,MyFitnessPal,2014,MEDIUM
user509@outlook.com,Canva,2012,LOW
user510@yahoo.com,Adobe,2016,HIGH
user511@gmail.com,MyFitnessPal,2013,MEDIUM
user512@yahoo.com,MyFitnessPal,2023,CRITICAL
user513@gmail.com,MyFitnessPal,2015,LOW
user514@outlook.com,Dropbox,2023,LOW
user515@protonmail.com,Dropbox,2014,CRITICAL
user516@gmail.com,LinkedIn,2024,MEDIUM
user517@company.com,LinkedIn,2024,MEDIUM
user518@gmail.com,Canva,2013,CRITICAL
user519@gmail.com,Twitter,2014,LOW
user520@icloud.com,MyFitnessPal,2016,CRITICAL
user521@icloud.com,Twitter,2017,LOW
user522@icloud.com,Dropbox,2015,LOW
user523@yahoo.com,Twitter,2019,MEDIUM
user524@protonmail.com,Adobe,2018,MEDIUM
user525@outlook.com,LinkedIn,2016,LOW
user526@protonmail.com,MyFitnessPal,2021,CRITICAL
user527@outlook.com,Dropbox,2017,MEDIUM
user528@outlook.com,LinkedIn,2017,MEDIUM
user529@outlook.com,MyFitnessPal,2012,CRITICAL
user530@yahoo.com,MyFitnessPal,2015,CRITICAL
user531@yahoo.com,Canva,2017,HIGH
user532@yahoo.com,Adobe,2014,HIGH
user533@gmail.com,Adobe,2013,MEDIUM
user534@icloud.com,LinkedIn,2020,CRITICAL
user535@company.com,MyFitnessPal,2014,MEDIUM
user536@yahoo.com,Dropbox,2020,LOW
user537@company.com,LinkedIn,2021,HIGH
user538@yahoo.com,Yahoo,2013,MEDIUM
user539@yahoo.com,Adobe,2020,HIGH
user540@company.com,MyFitnessPal,2015,MEDIUM
user541@gmail.com,Twitter,2014,MEDIUM
user542@gmail.com,LinkedIn,2019,HIGH
user543@company.com,Dropbox,2017,MEDIUM
user544@icloud.com,Dropbox,2015,LOW
user545@company.com,Yahoo,2018,HIGH
user546@gmail.com,Canva,2014,CRITICAL
user547@outlook.com,Adobe,2021,HIGH
user548@yahoo.com,MyFitnessPal,2013,MEDIUM
user549@protonmail.com,Dropbox,2023,HIGH
user550@icloud.com,Canva,2015,CRITICAL
user551@gmail.com,Twitter,2022,HIGH
user552@icloud.com,Yahoo,2018,MEDIUM
user553@protonmail.com,Dropbox,2013,MEDIUM
user554@icloud.com,Twitter,2023,CRITICAL
user555@company.com,Dropbox,2012,HIGH
user556@protonmail.com,Dropbox,2017,LOW
user557@outlook.com,Yahoo,2022,CRITICAL
user558@outlook.com,LinkedIn,2017,LOW
user559@yahoo.com,Twitter,2015,MEDIUM
user560@gmail.com,Canva,2015,HIGH
user561@yahoo.com,LinkedIn,2016,HIGH
user562@company.com,Canva,2016,LOW
user563@company.com,MyFitnessPal,2014,LOW
user564@outlook.com,Twitter,2014,MEDIUM
user565@outlook.com,LinkedIn,2022,MEDIUM
user566@company.com,Dropbox,2012,LOW
user567@gmail.com,Yahoo,2016,LOW
user568@protonmail.com,Twitter,2012,HIGH
user569@gmail.com,Canva,2020,CRITICAL
user570@company.com,LinkedIn,2023,CRITICAL
user571@yahoo.com,LinkedIn,2019,HIGH
user572@outlook.com,Adobe,2017,LOW
user573@protonmail.com,MyFitnessPal,2018,MEDIUM
user574@company.com,MyFitnessPal,2016,CRITICAL
user575@yahoo.com,MyFitnessPal,2024,LOW
user576@gmail.com,MyFitnessPal,2017,LOW
user577@icloud.com,Twitter,2022,HIGH
user578@company.com,Adobe,2015,LOW
user579@outlook.com,Yahoo,2019,HIGH
user580@yahoo.com,MyFitnessPal,2020,CRITICAL
user581@yahoo.com,LinkedIn,2013,HIGH
user582@outlook.com,LinkedIn,2017,LOW
user583@gmail.com,Twitter,2024,CRITICAL
user584@icloud.com,Canva,2020,CRITICAL
user585@company.com,Twitter,2014,HIGH
